Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
JUNG_E // 정이,Yes,2023-01-20,"4,71,00,000",Korean,Movie
Friends (1994): Season 3,No,nan,"4,69,00,000",English,Show
The School for Good and Evil,Yes,2022-10-19,"4,69,00,000",English,Movie
Puss in Boots (2011),No,nan,"4,66,00,000",English,Movie
The Thundermans: Season 2,No,nan,"4,65,00,000",English,Show
Friends (1994): Season 1,No,nan,"4,64,00,000",English,Show
Teen Titans Go!: Season 1,No,nan,"4,64,00,000",English,Show
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,Yes,2023-03-10,"4,63,00,000",Hindi,Show
From Scratch: Limited Series,Yes,2022-10-21,"4,62,00,000",English,Movie
Bake Squad: Season 2,Yes,2023-01-20,"4,61,00,000",English,Show
Friends (1994): Season 7,No,nan,"4,61,00,000",English,Show
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,Yes,2022-10-15,"4,61,00,000",Korean,Movie
Ganglands: Season 2 // Braqueurs : La série: Saison 2,Yes,2023-02-17,"4,60,00,000",Non-English,Show
The Queen's Gambit: Limited Series,Yes,2020-10-23,"4,59,00,000",English,Movie
Virgin River: Season 4,Yes,2022-07-20,"4,59,00,000",English,Show
Gabby's Dollhouse: Season 7,Yes,2023-03-20,"4,58,00,000",English,Show
A Beautiful Life,Yes,2023-06-01,"4,57,00,000",English,Movie
Peppa Pig: Season 6,No,nan,"4,57,00,000",English,Show
Copycat Killer: Season 1 // 模仿犯: 第 1 季,Yes,2023-03-31,"4,56,00,000",Non-English,Show
Avatar: The Last Airbender: Book 1,No,nan,"4,55,00,000",English,Movie
Friends (1994): Season 9,No,nan,"4,54,00,000",English,Show
